language	running_times_first
Afrikaans	1.5306060606060616
Albanian	1.4713855421686748
Arabic	1.6530455904334815
Armenian	1.4919597989949747
Azerbaijani	1.43530701754386
Azeri	1.513293650793651
Bengali	2.130100755667505
Bosnian	1.4433333333333336
Bulgarian	1.5602644836272037
Cantonese	1.5972178896372426
Catalan	1.4872509960159377
Chinese	1.6155117753623198
Croatian	1.463303437967116
Czech	1.5139313337106222
Danish	1.5367465753424667
Dutch	1.5255906612133565
English	1.5127968482156866
Estonian	1.4956730769230775
Filipino	1.70480744707983
Finnish	1.506543942014661
French	1.5585465553051334
Georgian	1.4825494205862297
German	1.5321384880585043
Greek	1.5046749258788579
Gujarati	2.2340067340067344
Hebrew	1.4775815217391297
Hindi	2.2373414510400833
Hungarian	1.531741096664781
Icelandic	1.5152428810720273
Indonesian	1.6175016056518943
Italian	1.5548538567057133
Japanese	1.5559431313213898
Kannada	2.3497907949790777
Kazakh	1.5388888888888894
Khmer	1.6426666666666665
Korean	1.6669783775252565
Kurdish	1.4164874551971331
Latvian	1.5111888111888112
Lithuanian	1.4922077922077925
Macedonian	1.667088607594937
Malay	1.6264521894548702
Malayalam	2.1849691358024685
Mandarin	1.6199419778002035
Marathi	2.1416666666666657
Mongolian	1.6264705882352948
Nepali	1.9288580246913578
None	1.4604629629629622
Norwegian	1.503157290470722
Oriya	2.4046006944444445
Persian	1.5843976028104985
Polish	1.5553712480252728
Portuguese	1.5294282185411183
Punjabi	2.211863425925927
Romanian	1.5832661290322576
Russian	1.5446736249171622
Serbian	1.5990932642487046
Serbo-Croatian	1.5529815529815525
Sinhala	1.9504938271604935
Slovak	1.5028855721393042
Slovenian	1.516096324461344
Spanish	1.5121171855226556
Swahili	1.4930817610062885
Swedish	1.5664525848398356
Swiss German	1.5205555555555559
Tagalog	1.7052042160737817
Taiwanese	1.6691666666666665
Tamil	2.4075518550978665
Telugu	2.475763888888888
Thai	1.7000919117647062
Turkish	1.4966842501883937
Ukrainian	1.5642701525054459
Urdu	2.0600849256900213
Uzbek	1.4827485380116958
Vietnamese	1.590780141843972
Yiddish	1.423177083333333
Zulu	1.4343137254901965
